#{"t_start": 1765594231.536499, "env_id": "None"}
r,l,t
671.39185,1000,300.286166
676.59235,1000,300.28618
803.99164,1000,300.286194
38.001564,1000,300.286208
270.79233,1000,300.286222
808.1931,1000,300.286235
796.3926,1000,300.286249
353.79398,1000,300.286263
-21.599703,1000,300.286278
-34.199543,1000,300.286292
804.1927,1000,300.286305
212.19772,1000,300.286319
164.60114,1000,300.286333
267.39474,1000,300.286347
100.402176,1000,300.286361
208.99637,1000,300.286375
113.002,1000,300.286389
133.00186,1000,300.286403
417.9964,1000,300.286417
4.9998474,1000,344.563674
-115.59947,1000,344.563737
101.201996,1000,344.563757
186.79869,1000,344.563774
-126.19921,1000,344.563789
-34.799973,1000,344.563804
8.400006,1000,344.563819
129.20143,1000,344.563833
222.59848,1000,344.563847
86.00229,1000,344.563861
65.60167,1000,344.563875
69.00189,1000,344.563889
226.39757,1000,344.563903
-87.199875,1000,344.563917
98.80252,1000,344.563931
-96.399666,1000,344.563945
669.39044,1000,344.563959
796.59186,1000,344.563973
96.40195,1000,344.563987
669.1913,1000,344.564001
146.40167,1000,344.564015
86.401596,1000,344.564029
-15.599911,1000,344.564043
7.400756,1000,344.564056
361.7927,1000,344.56407
42.401215,1000,344.564084
-11.799846,1000,344.564098
97.401505,1000,344.564112
84.20242,1000,388.550349
88.602036,1000,388.550405
370.00168,1000,388.550419
316.20047,1000,388.550427
801.1942,1000,388.550435
0.40075845,1000,388.550442
671.9925,1000,388.550449
-144.59895,1000,388.550457
-65.80029,1000,388.550464
17.801548,1000,388.550472
801.19293,1000,388.550478
-146.39888,1000,388.550486
-70.00023,1000,388.550493
671.59546,1000,388.550502
-11.798793,1000,388.550509
11.600996,1000,388.550515
800.7913,1000,388.550522
682.79266,1000,388.550529
681.595,1000,388.550535
-103.39965,1000,388.550542
110.60199,1000,388.55055
672.7945,1000,388.550557
185.1986,1000,388.550564
106.80209,1000,388.550633
-57.399868,1000,388.550647
381.99387,1000,388.550655
-134.79926,1000,388.550662
65.80208,1000,388.550669
-31.20014,1000,433.823675
800.19147,1000,433.823749
316.79367,1000,433.823769
-98.39979,1000,433.823785
807.3934,1000,433.8238
-115.59945,1000,433.823815
669.79034,1000,433.823829
22.601154,1000,433.823843
389.39084,1000,433.823858
15.600626,1000,433.823872
420.79395,1000,433.823885
806.3932,1000,433.8239
88.20137,1000,433.823913
672.7907,1000,433.823927
385.39212,1000,433.823941
672.99097,1000,433.823956
53.2013,1000,433.82397
411.59732,1000,433.823983
693.3951,1000,433.823997
357.19116,1000,433.824011
325.59747,1000,433.824025
230.79616,1000,433.824039
677.5972,1000,433.824053
12.199921,1000,433.824067
222.39949,1000,433.82408
389.3961,1000,433.824094
479.79053,1000,433.824108
343.1947,1000,433.824121
673.591,1000,460.80681
-24.999777,1000,460.806886
-12.79944,1000,460.806899
207.79984,1000,460.806909
-30.999472,1000,460.806918
669.1941,1000,460.806926
139.20192,1000,460.806935
671.19305,1000,460.806943
-133.39917,1000,460.806952
275.99414,1000,460.806961
101.00214,1000,460.806969
98.602295,1000,460.806978
674.39343,1000,460.806986
347.59366,1000,460.806995
378.99274,1000,460.807003
795.9923,1000,460.807012
184.80025,1000,460.80702
139.7999,1000,460.807028
88.20192,1000,460.807037
798.99054,1000,460.807045
85.402176,1000,460.807053
210.7961,1000,460.807061
