#{"t_start": 1765582597.4202473, "env_id": "None"}
r,l,t
705.6,1000,593.510288
715.0,1000,595.517273
711.4,1000,597.517669
177.8,1000,599.396329
586.6,1000,601.288035
136.4,1000,605.157431
169.4,1000,607.011832
-76.8,1000,608.844162
302.0,1000,610.771883
824.4,1000,612.748867
586.8,1000,614.744352
448.4,1000,616.628752
306.2,1000,618.581691
825.0,1000,622.715334
-57.6,1000,624.58969
723.8,1000,626.538375
322.6,1000,628.446541
17.6,1000,630.416492
579.8,1000,632.40654
705.2,1000,634.393337
-34.6,1000,636.263316
114.0,1000,640.064268
589.4,1000,642.197795
102.2,1000,644.07948
705.0,1000,646.05807
811.2,1000,648.067748
317.2,1000,650.025761
199.2,1000,651.910381
120.6,1000,653.792207
414.2,1000,657.769255
823.0,1000,659.74116
147.8,1000,661.667358
194.8,1000,663.597134
823.4,1000,665.555214
602.2,1000,667.616606
227.2,1000,669.511447
702.4,1000,671.560378
76.8,1000,675.776471
-11.2,1000,677.870373
708.6,1000,680.011483
705.8,1000,682.000422
712.2,1000,684.038274
43.8,1000,686.133784
47.2,1000,688.135519
827.8,1000,690.206082
-89.0,1000,694.519542
853.0,1000,696.560801
706.8,1000,698.583419
258.6,1000,700.860646
-27.4,1000,702.691826
49.2,1000,704.426843
818.8,1000,706.416784
452.6,1000,708.404945
-79.0,1000,712.621218
447.8,1000,714.583454
8.2,1000,716.526452
137.0,1000,718.407465
407.0,1000,720.286838
847.6,1000,722.229933
716.4,1000,724.195336
42.6,1000,726.113232
141.0,1000,730.777497
71.0,1000,732.726053
-93.4,1000,734.656498
810.0,1000,736.66577
-7.4,1000,738.547435
708.0,1000,740.522515
702.4,1000,742.505652
696.2,1000,744.503671
93.4,1000,748.797008
126.6,1000,750.691053
187.0,1000,752.602099
702.4,1000,754.628959
-113.8,1000,756.693403
697.8,1000,758.803356
-75.0,1000,760.837037
815.0,1000,762.794856
699.2,1000,767.67045
282.8,1000,770.103976
701.2,1000,772.335766
8.4,1000,774.481582
97.0,1000,776.383597
281.4,1000,778.309849
31.6,1000,780.273748
-19.6,1000,782.372139
338.0,1000,786.605324
198.6,1000,788.710043
41.2,1000,791.008872
-61.4,1000,792.979802
856.8,1000,794.962181
128.8,1000,796.949373
821.2,1000,798.981675
254.8,1000,800.97181
700.0,1000,804.926812
39.6,1000,806.875156
356.2,1000,808.864067
144.6,1000,810.846079
-80.8,1000,812.802548
817.6,1000,814.815657
219.2,1000,816.764807
287.2,1000,818.635601
705.2,1000,822.715459
178.2,1000,824.670322
836.4,1000,826.627608
115.0,1000,828.592046
693.6,1000,830.632652
288.6,1000,832.786121
243.8,1000,834.650409
135.2,1000,836.639164
61.0,1000,840.429637
455.0,1000,842.495074
206.8,1000,844.546805
695.0,1000,846.75648
-176.0,1000,848.841761
695.8,1000,850.926196
708.0,1000,852.996799
812.6,1000,855.058733
276.4,1000,858.968009
805.8,1000,860.982638
533.8,1000,862.926608
92.4,1000,864.895294
686.0,1000,866.94047
21.4,1000,868.902635
578.6,1000,870.889581
692.4,1000,872.900043
352.2,1000,876.885958
-90.4,1000,878.743994
-65.2,1000,880.638744
49.0,1000,882.249058
-71.8,1000,884.191384
705.4,1000,886.189506
-89.6,1000,888.083394
-65.2,1000,890.031838
-33.6,1000,893.839364
-7.6,1000,895.765196
829.8,1000,897.730252
-73.4,1000,899.72249
459.4,1000,901.603229
306.4,1000,903.530081
417.4,1000,905.582321
807.2,1000,907.718679
600.6,1000,911.806233
272.6,1000,913.72446
-20.8,1000,915.750874
694.6,1000,917.842687
694.8,1000,919.900653
286.2,1000,921.908319
695.2,1000,923.964208
821.0,1000,925.984378
44.8,1000,929.996053
804.2,1000,932.010454
255.6,1000,933.964994
-88.0,1000,935.862026
694.2,1000,937.902401
222.8,1000,939.861959
681.8,1000,941.9022
277.8,1000,943.857891
-22.0,1000,947.748749
805.0,1000,949.775408
580.6,1000,951.811726
108.8,1000,953.756467
813.6,1000,955.767872
138.6,1000,957.714742
695.0,1000,959.736101
204.6,1000,961.704848
806.2,1000,965.829006
232.4,1000,967.82764
706.4,1000,969.887451
353.4,1000,971.825829
80.4,1000,973.643406
694.6,1000,975.662122
54.0,1000,977.488514
337.2,1000,979.46186
154.2,1000,983.137734
231.0,1000,984.893922
313.8,1000,986.870836
