#{"t_start": 1765593200.3329856, "env_id": "None"}
r,l,t
-17.399778,1000,414.583696
421.1914,1000,414.583704
794.1931,1000,414.583712
200.39745,1000,414.58372
75.401215,1000,414.583728
798.99146,1000,414.583736
800.995,1000,414.583745
198.39684,1000,414.583753
196.39796,1000,414.58376
303.39285,1000,414.583769
141.80128,1000,414.583782
814.3954,1000,414.583789
672.19116,1000,414.583797
-26.999601,1000,414.583804
123.600494,1000,414.583812
679.7952,1000,414.583821
794.1909,1000,414.583829
101.00183,1000,414.583837
171.80057,1000,414.583845
-36.799248,1000,414.583853
-17.399176,1000,479.503898
93.202194,1000,479.503963
670.59436,1000,479.503975
-68.00011,1000,479.503983
428.79224,1000,479.50399
46.80207,1000,479.503997
797.59314,1000,479.504004
151.99995,1000,479.504011
97.401886,1000,479.504018
12.601422,1000,479.504025
-4.2000237,1000,479.504031
-55.400066,1000,479.504038
-3.1987536,1000,479.504045
-36.99947,1000,479.504051
-24.3994,1000,479.504058
257.5924,1000,479.504065
675.7929,1000,479.504071
84.40224,1000,479.504078
160.60149,1000,479.504087
-46.99988,1000,479.504092
-6.598767,1000,479.504098
385.5928,1000,479.504104
306.3923,1000,479.50411
793.39246,1000,479.504115
250.79463,1000,479.504121
95.20235,1000,479.504127
-49.400337,1000,479.504133
-55.59983,1000,479.504139
190.79875,1000,554.55647
229.59505,1000,554.556557
347.59317,1000,554.556572
513.99347,1000,554.556582
96.60243,1000,554.556591
-37.99984,1000,554.556601
-42.99947,1000,554.556609
-150.99893,1000,554.556618
249.79297,1000,554.556627
871.99744,1000,554.556636
796.9913,1000,554.556644
440.59247,1000,554.556653
-33.199448,1000,554.556662
228.79494,1000,554.556671
670.7908,1000,554.556679
16.000374,1000,554.556688
26.201412,1000,554.556696
669.1939,1000,554.556705
120.40187,1000,554.556713
796.59534,1000,554.556722
131.40263,1000,554.556734
50.20216,1000,554.556741
29.801014,1000,554.556754
300.9934,1000,554.556765
665.5921,1000,554.556773
168.60194,1000,554.556781
-79.20006,1000,554.556789
286.19153,1000,554.556798
